cargo,cargo_distance_m,destination_port,displayed_sell_value_gbp,distance_status,distinct_ocr_tuples_seen,origin_port,origin_region,review_note,source_recording,supporting_frame_count,value_status
Oil,9029.3,Port Royal,238,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,6,CONFIRMED_FROM_VIDEO
Oil,4518.6,Port-Au-Croix,162,CONFIRMED_FROM_VIDEO,2,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,5,CONFIRMED_FROM_VIDEO
Oil,7049.0,Princeton,205,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,4,CONFIRMED_FROM_VIDEO
Oil,10917.9,Puerto de San Fernando,271,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,2,CONFIRMED_FROM_VIDEO
Oil,3841.2,Saint Vincent,150,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,5,CONFIRMED_FROM_VIDEO
Oil,12790.8,Saint-Nicholas,302,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,4,CONFIRMED_FROM_VIDEO
Oil,5009.7,Sainte Rose,170,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,6,CONFIRMED_FROM_VIDEO
Oil,15423.4,San Polo,347,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,4,CONFIRMED_FROM_VIDEO
Oil,13749.9,San Salvador,319,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,4,CONFIRMED_FROM_VIDEO
Oil,12458.6,San Vito,297,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,2,CONFIRMED_FROM_VIDEO
Oil,12820.1,Sandy Settlement,303,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,4,CONFIRMED_FROM_VIDEO
Oil,12953.2,Santa Maria,305,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,4,CONFIRMED_FROM_VIDEO
Oil,11492.5,Sao Bento,280,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,4,CONFIRMED_FROM_VIDEO
Oil,4685.1,Snake Prosper,165,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,6,CONFIRMED_FROM_VIDEO
Oil,9880.8,Sugar Cove,253,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,4,CONFIRMED_FROM_VIDEO
Oil,11921.5,Taylor's Town,288,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,3,CONFIRMED_FROM_VIDEO
Oil,9324.2,Theresa,244,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,4,CONFIRMED_FROM_VIDEO
Oil,9303.0,Thresher Point,243,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,5,CONFIRMED_FROM_VIDEO
Oil,8511.1,Venta Nueva,230,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,5,CONFIRMED_FROM_VIDEO
Oil,7614.0,Villarreal Del Mar,214,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,5,CONFIRMED_FROM_VIDEO
Oil,5075.7,White Hook,171,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,6,CONFIRMED_FROM_VIDEO
Oil,1114.1,Wyntergard,104,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,3,CONFIRMED_FROM_VIDEO
Oil,4271.5,Yorinobu's Settlement,158,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,1,CONFIRMED_FROM_VIDEO
Buckets,3048.9,Al-Jazair,105,CONFIRMED_FROM_VIDEO,1,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,6,CONFIRMED_FROM_VIDEO
Buckets,2894.9,Ashbourne,103,CONFIRMED_FROM_VIDEO,2,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,5,CONFIRMED_FROM_VIDEO
Buckets,6832.4,Belfry Heights,154,CONFIRMED_FROM_VIDEO,3,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,3,CONFIRMED_FROM_VIDEO
Buckets,4667.4,Caledonia,126,CONFIRMED_FROM_VIDEO,1,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,4,CONFIRMED_FROM_VIDEO
Buckets,6427.9,Castle Landing,149,CONFIRMED_FROM_VIDEO,1,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,5,CONFIRMED_FROM_VIDEO
Buckets,10487.3,Caveira,201,CONFIRMED_FROM_VIDEO,1,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,6,CONFIRMED_FROM_VIDEO
Buckets,5218.3,Caye Tiburon,133,CONFIRMED_FROM_VIDEO,1,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,3,CONFIRMED_FROM_VIDEO
Buckets,3657.2,Crownstead,113,CONFIRMED_FROM_VIDEO,2,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,4,CONFIRMED_FROM_VIDEO
Buckets,4365.0,Deadman's Murcia,122,CONFIRMED_FROM_VIDEO,1,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,5,CONFIRMED_FROM_VIDEO
Buckets,1332.2,Fair Harbour,82,CONFIRMED_FROM_VIDEO,1,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,2,CONFIRMED_FROM_VIDEO
Buckets,5249.2,Falmouth,133,CONFIRMED_FROM_VIDEO,1,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,4,CONFIRMED_FROM_VIDEO
Buckets,4769.9,Gyldenvale,127,CONFIRMED_FROM_VIDEO,1,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,5,CONFIRMED_FROM_VIDEO
Buckets,6528.2,Jones' Outpost,150,CONFIRMED_FROM_VIDEO,1,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,5,CONFIRMED_FROM_VIDEO
Buckets,13433.7,Kandlerova,240,CONFIRMED_FROM_VIDEO,1,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,2,CONFIRMED_FROM_VIDEO
Buckets,11068.0,La Povenglia,209,CONFIRMED_FROM_VIDEO,1,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,4,CONFIRMED_FROM_VIDEO
Buckets,6069.6,Lebarde,144,CONFIRMED_FROM_VIDEO,1,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,1,CONFIRMED_FROM_VIDEO
Buckets,7181.3,Lord Irving's Sacrifice,158,CONFIRMED_FROM_VIDEO,1,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,4,CONFIRMED_FROM_VIDEO
Buckets,4634.5,Louisbourg,125,CONFIRMED_FROM_VIDEO,2,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,4,CONFIRMED_FROM_VIDEO
Buckets,12084.9,Madalena,222,CONFIRMED_FROM_VIDEO,1,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,2,CONFIRMED_FROM_VIDEO
Buckets,7601.1,Mako's Outlook,164,CONFIRMED_FROM_VIDEO,1,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,3,CONFIRMED_FROM_VIDEO
Buckets,897.0,Matthew's Rest,77,CONFIRMED_FROM_VIDEO,1,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,2,CONFIRMED_FROM_VIDEO
Buckets,3778.2,Maurepas,114,CONFIRMED_FROM_VIDEO,1,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,6,CONFIRMED_FROM_VIDEO
Buckets,2614.3,New Brighton,99,CONFIRMED_FROM_VIDEO,1,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,5,CONFIRMED_FROM_VIDEO
Buckets,7611.5,New Catalina,164,CONFIRMED_FROM_VIDEO,2,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,3,CONFIRMED_FROM_VIDEO
Buckets,1885.1,Pachard Town,90,CONFIRMED_FROM_VIDEO,1,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,3,CONFIRMED_FROM_VIDEO
Buckets,5488.5,Petit Anvers,136,CONFIRMED_FROM_VIDEO,1,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,4,CONFIRMED_FROM_VIDEO
Buckets,11179.5,Poblado de San Juan,210,CONFIRMED_FROM_VIDEO,1,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,3,CONFIRMED_FROM_VIDEO
Buckets,3948.9,Point Rocheux,116,CONFIRMED_FROM_VIDEO,2,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,5,CONFIRMED_FROM_VIDEO
Buckets,11232.1,Ponta Delgada,211,CONFIRMED_FROM_VIDEO,1,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,2,CONFIRMED_FROM_VIDEO
Buckets,6359.6,Port Antonio,148,CONFIRMED_FROM_VIDEO,1,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,5,CONFIRMED_FROM_VIDEO
Buckets,1918.1,Port Louis,90,CONFIRMED_FROM_VIDEO,1,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,4,CONFIRMED_FROM_VIDEO
Buckets,6463.3,Port Royal,149,CONFIRMED_FROM_VIDEO,1,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,5,CONFIRMED_FROM_VIDEO
Buckets,2871.0,Port-Au-Croix,102,CONFIRMED_FROM_VIDEO,1,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,6,CONFIRMED_FROM_VIDEO
Buckets,4768.7,Princeton,127,CONFIRMED_FROM_VIDEO,1,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,4,CONFIRMED_FROM_VIDEO
Buckets,9029.2,Puerto de San Fernando,182,CONFIRMED_FROM_VIDEO,1,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,4,CONFIRMED_FROM_VIDEO
Buckets,2494.6,Saint Vincent,97,CONFIRMED_FROM_VIDEO,1,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,4,CONFIRMED_FROM_VIDEO
Buckets,5812.9,Sainte Rose,141,CONFIRMED_FROM_VIDEO,1,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,4,CONFIRMED_FROM_VIDEO
Buckets,12585.1,San Polo,229,CONFIRMED_FROM_VIDEO,1,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,2,CONFIRMED_FROM_VIDEO
Buckets,11322.7,San Salvador,212,CONFIRMED_FROM_VIDEO,1,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,2,CONFIRMED_FROM_VIDEO
Buckets,9598.5,San Vito,190,CONFIRMED_FROM_VIDEO,1,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,4,CONFIRMED_FROM_VIDEO
Buckets,9835.0,Sandy Settlement,193,CONFIRMED_FROM_VIDEO,1,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,5,CONFIRMED_FROM_VIDEO
Buckets,10806.8,Santa Maria,205,CONFIRMED_FROM_VIDEO,1,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,4,CONFIRMED_FROM_VIDEO
Buckets,10695.9,Sao Bento,204,CONFIRMED_FROM_VIDEO,1,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,3,CONFIRMED_FROM_VIDEO
Buckets,4292.3,Snake Prosper,121,CONFIRMED_FROM_VIDEO,1,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,5,CONFIRMED_FROM_VIDEO
Buckets,8569.8,Sugar Cove,176,CONFIRMED_FROM_VIDEO,1,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,3,CONFIRMED_FROM_VIDEO
Buckets,9351.3,Taylor's Town,187,CONFIRMED_FROM_VIDEO,2,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,2,CONFIRMED_FROM_VIDEO
Buckets,7133.7,Theresa,158,CONFIRMED_FROM_VIDEO,1,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,5,CONFIRMED_FROM_VIDEO
Buckets,6442.0,Thresher Point,149,CONFIRMED_FROM_VIDEO,2,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,4,CONFIRMED_FROM_VIDEO
Buckets,7317.8,Venta Nueva,160,CONFIRMED_FROM_VIDEO,1,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,4,CONFIRMED_FROM_VIDEO
Buckets,6142.6,Villarreal Del Mar,145,CONFIRMED_FROM_VIDEO,1,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,4,CONFIRMED_FROM_VIDEO
Buckets,5269.0,White Hook,133,CONFIRMED_FROM_VIDEO,1,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,4,CONFIRMED_FROM_VIDEO
Buckets,3628.5,Wyntergard,112,CONFIRMED_FROM_VIDEO,1,Bucket Bay,Îles de Louis,,Screen Recording 2026-08-16 110602.mp4,5,CONFIRMED_FROM_VIDEO
Bells,5889.7,Al-Jazair,147,CONFIRMED_FROM_VIDEO,2,Crownstead,Vysarian Isles,,Screen Recording 2026-08-16 104608.mp4,5,CONFIRMED_FROM_VIDEO
Bells,816.6,Ashbourne,79,CONFIRMED_FROM_VIDEO,1,Crownstead,Vysarian Isles,,Screen Recording 2026-08-16 104608.mp4,2,CONFIRMED_FROM_VIDEO
Bells,10489.0,Belfry Heights,209,CONFIRMED_FROM_VIDEO,1,Crownstead,Vysarian Isles,,Screen Recording 2026-08-16 104608.mp4,5,CONFIRMED_FROM_VIDEO
Bells,3657.2,Bucket Bay,117,CONFIRMED_FROM_VIDEO,1,Crownstead,Vysarian Isles,,Screen Recording 2026-08-16 104608.mp4,5,CONFIRMED_FROM_VIDEO
Bells,5529.6,Caledonia,142,CONFIRMED_FROM_VIDEO,1,Crownstead,Vysarian Isles,,Screen Recording 2026-08-16 104608.mp4,5,CONFIRMED_FROM_VIDEO
Bells,9403.3,Castle Landing,194,CONFIRMED_FROM_VIDEO,1,Crownstead,Vysarian Isles,,Screen Recording 2026-08-16 104608.mp4,3,CONFIRMED_FROM_VIDEO
Bells,11905.7,Caveira,228,CONFIRMED_FROM_VIDEO,1,Crownstead,Vysarian Isles,,Screen Recording 2026-08-16 104608.mp4,6,CONFIRMED_FROM_VIDEO
Bells,8875.5,Caye Tiburon,187,CONFIRMED_FROM_VIDEO,1,Crownstead,Vysarian Isles,,Screen Recording 2026-08-16 104608.mp4,4,CONFIRMED_FROM_VIDEO
Bells,4785.3,Deadman's Murcia,132,CONFIRMED_FROM_VIDEO,1,Crownstead,Vysarian Isles,,Screen Recording 2026-08-16 104608.mp4,3,CONFIRMED_FROM_VIDEO
Bells,3284.3,Fair Harbour,112,CONFIRMED_FROM_VIDEO,1,Crownstead,Vysarian Isles,,Screen Recording 2026-08-16 104608.mp4,4,CONFIRMED_FROM_VIDEO
Bells,7762.6,Falmouth,172,CONFIRMED_FROM_VIDEO,1,Crownstead,Vysarian Isles,,Screen Recording 2026-08-16 104608.mp4,5,CONFIRMED_FROM_VIDEO
Bells,1374.6,Gyldenvale,86,CONFIRMED_FROM_VIDEO,1,Crownstead,Vysarian Isles,,Screen Recording 2026-08-16 104608.mp4,4,CONFIRMED_FROM_VIDEO
Bells,8553.1,Jones' Outpost,183,CONFIRMED_FROM_VIDEO,2,Crownstead,Vysarian Isles,,Screen Recording 2026-08-16 104608.mp4,5,CONFIRMED_FROM_VIDEO
Bells,16925.0,Kandlerova,296,CONFIRMED_FROM_VIDEO,1,Crownstead,Vysarian Isles,,Screen Recording 2026-08-16 104608.mp4,1,CONFIRMED_FROM_VIDEO
Bells,14680.4,La Povenglia,266,CONFIRMED_FROM_VIDEO,1,Crownstead,Vysarian Isles,,Screen Recording 2026-08-16 104608.mp4,1,CONFIRMED_FROM_VIDEO
Bells,9436.9,Lebarde,195,CONFIRMED_FROM_VIDEO,1,Crownstead,Vysarian Isles,,Screen Recording 2026-08-16 104608.mp4,4,CONFIRMED_FROM_VIDEO
Bells,10660.3,Lord Irving's Sacrifice,211,CONFIRMED_FROM_VIDEO,1,Crownstead,Vysarian Isles,,Screen Recording 2026-08-16 104608.mp4,3,CONFIRMED_FROM_VIDEO
Bells,3811.8,Louisbourg,119,CONFIRMED_FROM_VIDEO,1,Crownstead,Vysarian Isles,,Screen Recording 2026-08-16 104608.mp4,4,CONFIRMED_FROM_VIDEO
Bells,13119.3,Madalena,245,CONFIRMED_FROM_VIDEO,1,Crownstead,Vysarian Isles,,Screen Recording 2026-08-16 104608.mp4,5,CONFIRMED_FROM_VIDEO
Bells,11150.0,Mako's Outlook,218,CONFIRMED_FROM_VIDEO,1,Crownstead,Vysarian Isles,,Screen Recording 2026-08-16 104608.mp4,5,CONFIRMED_FROM_VIDEO
Bells,3859.9,Matthew's Rest,120,CONFIRMED_FROM_VIDEO,1,Crownstead,Vysarian Isles,,Screen Recording 2026-08-16 104608.mp4,6,CONFIRMED_FROM_VIDEO
Bells,3479.3,Maurepas,114,CONFIRMED_FROM_VIDEO,1,Crownstead,Vysarian Isles,,Screen Recording 2026-08-16 104608.mp4,5,CONFIRMED_FROM_VIDEO
Bells,6133.5,New Brighton,150,CONFIRMED_FROM_VIDEO,1,Crownstead,Vysarian Isles,,Screen Recording 2026-08-16 104608.mp4,5,CONFIRMED_FROM_VIDEO
Bells,9773.2,New Catalina,199,CONFIRMED_FROM_VIDEO,1,Crownstead,Vysarian Isles,,Screen Recording 2026-08-16 104608.mp4,4,CONFIRMED_FROM_VIDEO
Bells,4566.4,Pachard Town,129,CONFIRMED_FROM_VIDEO,1,Crownstead,Vysarian Isles,,Screen Recording 2026-08-16 104608.mp4,4,CONFIRMED_FROM_VIDEO
Bells,12697.8,Peter's Cove,239,CONFIRMED_FROM_VIDEO,1,Crownstead,Vysarian Isles,,Screen Recording 2026-08-16 104608.mp4,6,CONFIRMED_FROM_VIDEO
Bells,3435.3,Petit Anvers,114,CONFIRMED_FROM_VIDEO,2,Crownstead,Vysarian Isles,,Screen Recording 2026-08-16 104608.mp4,4,CONFIRMED_FROM_VIDEO
Bells,13663.4,Poblado de San Juan,252,CONFIRMED_FROM_VIDEO,1,Crownstead,Vysarian Isles,,Screen Recording 2026-08-16 104608.mp4,4,CONFIRMED_FROM_VIDEO
Bells,5671.7,Point Rocheux,144,CONFIRMED_FROM_VIDEO,1,Crownstead,Vysarian Isles,,Screen Recording 2026-08-16 104608.mp4,6,CONFIRMED_FROM_VIDEO
Bells,11451.9,Ponta Delgada,222,CONFIRMED_FROM_VIDEO,1,Crownstead,Vysarian Isles,,Screen Recording 2026-08-16 104608.mp4,4,CONFIRMED_FROM_VIDEO
Bells,8772.7,Port Antonio,186,CONFIRMED_FROM_VIDEO,1,Crownstead,Vysarian Isles,,Screen Recording 2026-08-16 104608.mp4,5,CONFIRMED_FROM_VIDEO
Bells,2581.9,Port Louis,102,CONFIRMED_FROM_VIDEO,2,Crownstead,Vysarian Isles,,Screen Recording 2026-08-16 104608.mp4,3,CONFIRMED_FROM_VIDEO
Bells,9607.6,Port Royal,197,CONFIRMED_FROM_VIDEO,1,Crownstead,Vysarian Isles,,Screen Recording 2026-08-16 104608.mp4,5,CONFIRMED_FROM_VIDEO
Bells,4955.2,Port-Au-Croix,134,CONFIRMED_FROM_VIDEO,1,Crownstead,Vysarian Isles,,Screen Recording 2026-08-16 104608.mp4,4,CONFIRMED_FROM_VIDEO
