cargo,cargo_distance_m,destination_port,displayed_sell_value_gbp,distance_review_note,distance_status,distinct_ocr_tuples_seen,extraction_pass,origin_port,origin_region,review_note,source_recording,supporting_frame_count,value_status
Coffee,4598.6,New Catalina,180,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,3,CONFIRMED_FROM_VIDEO
Coffee,4513.3,Pachard Town,178,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,2,CONFIRMED_FROM_VIDEO
Coffee,7301.7,Peter's Cove,231,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,8,CONFIRMED_FROM_VIDEO
Coffee,8423.8,Petit Anvers,252,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,6,CONFIRMED_FROM_VIDEO
Coffee,12604.9,Poblado de San Juan,330,,CONFIRMED_FROM_VIDEO,2,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,6,CONFIRMED_FROM_VIDEO
Coffee,6603.9,Point Rocheux,218,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,5,CONFIRMED_FROM_VIDEO
Coffee,14022.1,Ponta Delgada,357,,CONFIRMED_FROM_VIDEO,2,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,6,CONFIRMED_FROM_VIDEO
Coffee,8227.1,Port Antonio,248,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,6,CONFIRMED_FROM_VIDEO
Coffee,3319.5,Port Louis,156,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,7,CONFIRMED_FROM_VIDEO
Coffee,7409.8,Port Royal,233,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,6,CONFIRMED_FROM_VIDEO
Coffee,5551.7,Port-Au-Croix,198,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,4,CONFIRMED_FROM_VIDEO
Coffee,1980.9,Princeton,131,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,6,CONFIRMED_FROM_VIDEO
Coffee,10820.0,Puerto de San Fernando,297,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,10,CONFIRMED_FROM_VIDEO
Coffee,1395.3,Saint Vincent,120,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,4,CONFIRMED_FROM_VIDEO
Coffee,7954.8,Saint-Nicholas,243,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,6,CONFIRMED_FROM_VIDEO
Coffee,8858.9,Sainte Rose,260,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,3,CONFIRMED_FROM_VIDEO
Coffee,12165.3,San Polo,322,,CONFIRMED_FROM_VIDEO,2,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,6,CONFIRMED_FROM_VIDEO
Coffee,12196.5,San Salvador,322,,CONFIRMED_FROM_VIDEO,2,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,6,CONFIRMED_FROM_VIDEO
Coffee,9166.2,San Vito,266,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,3,CONFIRMED_FROM_VIDEO
Coffee,8073.7,Sandy Settlement,245,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,6,CONFIRMED_FROM_VIDEO
Coffee,12174.2,Santa Maria,322,,CONFIRMED_FROM_VIDEO,2,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,6,CONFIRMED_FROM_VIDEO
Coffee,13281.9,Sao Bento,343,,CONFIRMED_FROM_VIDEO,2,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,6,CONFIRMED_FROM_VIDEO
Coffee,2701.1,Snake Prosper,144,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,7,CONFIRMED_FROM_VIDEO
Coffee,5577.2,Sugar Cove,198,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,4,CONFIRMED_FROM_VIDEO
Coffee,6930.3,Taylor's Town,224,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,5,CONFIRMED_FROM_VIDEO
Coffee,8684.0,Theresa,257,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,5,CONFIRMED_FROM_VIDEO
Coffee,5158.1,Thresher Point,190,,CONFIRMED_FROM_VIDEO,1,even_odd,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,1,CONFIRMED_FROM_VIDEO
Coffee,9803.5,Venta Nueva,278,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,4,CONFIRMED_FROM_VIDEO
Coffee,8521.0,Villarreal Del Mar,254,,CONFIRMED_FROM_VIDEO,2,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,6,CONFIRMED_FROM_VIDEO
Coffee,3909.8,White Hook,167,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,2,CONFIRMED_FROM_VIDEO
Coffee,5223.1,Wyntergard,192,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,4,CONFIRMED_FROM_VIDEO
Coffee,1853.9,Yorinobu's Settlement,129,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,4,CONFIRMED_FROM_VIDEO
Oil,5080.7,Al-Jazair,171,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,6,CONFIRMED_FROM_VIDEO
Oil,9722.6,Belfry Heights,250,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,4,CONFIRMED_FROM_VIDEO
Oil,2894.9,Bucket Bay,134,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,5,CONFIRMED_FROM_VIDEO
Oil,4913.7,Caledonia,169,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,6,CONFIRMED_FROM_VIDEO
Oil,8599.9,Castle Landing,231,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,5,CONFIRMED_FROM_VIDEO
Oil,11754.2,Caveira,285,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,3,CONFIRMED_FROM_VIDEO
Oil,8105.6,Caye Tiburon,223,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,4,CONFIRMED_FROM_VIDEO
Oil,816.6,Crownstead,98,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,3,CONFIRMED_FROM_VIDEO
Oil,8782.0,Cumberland Hill,234,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,Visually verified from a visible recording frame after OCR audit.,Screen Recording 2026-08-16 105004.mp4,4,CONFIRMED_FROM_VIDEO
Oil,4213.4,Deadman's Murcia,157,,CONFIRMED_FROM_VIDEO,2,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,4,CONFIRMED_FROM_VIDEO
Oil,2468.9,Fair Harbour,127,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,5,CONFIRMED_FROM_VIDEO
Oil,7316.7,Falmouth,209,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,5,CONFIRMED_FROM_VIDEO
Oil,1914.0,Gyldenvale,118,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,5,CONFIRMED_FROM_VIDEO
Oil,7833.1,Jones' Outpost,218,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,4,CONFIRMED_FROM_VIDEO
Oil,16254.2,Kandlerova,361,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,4,CONFIRMED_FROM_VIDEO
Oil,13953.5,La Povenglia,322,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,4,CONFIRMED_FROM_VIDEO
Oil,8620.3,Lebarde,232,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,5,CONFIRMED_FROM_VIDEO
Oil,9987.1,Lord Irving's Sacrifice,255,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,3,CONFIRMED_FROM_VIDEO
Oil,3970.9,Louisbourg,153,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,4,CONFIRMED_FROM_VIDEO
Oil,13063.8,Madalena,307,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,4,CONFIRMED_FROM_VIDEO
Oil,10451.4,Mako's Outlook,263,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,3,CONFIRMED_FROM_VIDEO
Oil,3196.3,Matthew's Rest,139,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,5,CONFIRMED_FROM_VIDEO
Oil,3468.0,Maurepas,144,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,6,CONFIRMED_FROM_VIDEO
Oil,5327.0,New Brighton,176,,CONFIRMED_FROM_VIDEO,2,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,4,CONFIRMED_FROM_VIDEO
Oil,9046.0,New Catalina,239,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,5,CONFIRMED_FROM_VIDEO
Oil,3996.0,Pachard Town,153,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,6,CONFIRMED_FROM_VIDEO
Oil,11895.2,Peter's Cove,287,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,3,CONFIRMED_FROM_VIDEO
Oil,3907.5,Petit Anvers,151,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,7,CONFIRMED_FROM_VIDEO
Oil,13272.5,Poblado de San Juan,311,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,4,CONFIRMED_FROM_VIDEO
Oil,5342.3,Point Rocheux,176,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,5,CONFIRMED_FROM_VIDEO
Oil,11564.8,Ponta Delgada,282,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,3,CONFIRMED_FROM_VIDEO
Oil,8363.0,Port Antonio,227,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,5,CONFIRMED_FROM_VIDEO
Oil,1788.6,Port Louis,115,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,4,CONFIRMED_FROM_VIDEO
Oil,9029.3,Port Royal,238,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,6,CONFIRMED_FROM_VIDEO
Oil,4518.6,Port-Au-Croix,162,,CONFIRMED_FROM_VIDEO,2,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,5,CONFIRMED_FROM_VIDEO
Oil,7049.0,Princeton,205,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,4,CONFIRMED_FROM_VIDEO
Oil,10917.9,Puerto de San Fernando,271,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,2,CONFIRMED_FROM_VIDEO
Oil,3841.2,Saint Vincent,150,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,5,CONFIRMED_FROM_VIDEO
Oil,12790.8,Saint-Nicholas,302,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,4,CONFIRMED_FROM_VIDEO
Oil,5009.7,Sainte Rose,170,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,6,CONFIRMED_FROM_VIDEO
Oil,15423.4,San Polo,347,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,4,CONFIRMED_FROM_VIDEO
Oil,13749.9,San Salvador,319,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,4,CONFIRMED_FROM_VIDEO
Oil,12458.6,San Vito,297,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,2,CONFIRMED_FROM_VIDEO
Oil,12820.1,Sandy Settlement,303,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,4,CONFIRMED_FROM_VIDEO
Oil,12953.2,Santa Maria,305,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,4,CONFIRMED_FROM_VIDEO
Oil,11492.5,Sao Bento,280,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,4,CONFIRMED_FROM_VIDEO
Oil,4685.1,Snake Prosper,165,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,6,CONFIRMED_FROM_VIDEO
Oil,9880.8,Sugar Cove,253,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,4,CONFIRMED_FROM_VIDEO
Oil,11921.5,Taylor's Town,288,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,3,CONFIRMED_FROM_VIDEO
Oil,9324.2,Theresa,244,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,4,CONFIRMED_FROM_VIDEO
Oil,9303.0,Thresher Point,243,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,5,CONFIRMED_FROM_VIDEO
Oil,8511.1,Venta Nueva,230,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,5,CONFIRMED_FROM_VIDEO
Oil,7614.0,Villarreal Del Mar,214,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,5,CONFIRMED_FROM_VIDEO
Oil,5075.7,White Hook,171,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,6,CONFIRMED_FROM_VIDEO
Oil,1114.1,Wyntergard,104,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,3,CONFIRMED_FROM_VIDEO
Oil,4271.5,Yorinobu's Settlement,158,,CONFIRMED_FROM_VIDEO,1,,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,1,CONFIRMED_FROM_VIDEO
Books,5856.8,Al-Jazair,212,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Belfry Heights,Blacktip Shoals,,Screen Recording 2026-08-16 223317.mp4,6,CONFIRMED_FROM_VIDEO
Books,9722.6,Ashbourne,287,,CONFIRMED_FROM_VIDEO,2,pooled_even_odd_wide,Belfry Heights,Blacktip Shoals,,Screen Recording 2026-08-16 223317.mp4,5,CONFIRMED_FROM_VIDEO
Books,6832.4,Bucket Bay,231,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Belfry Heights,Blacktip Shoals,,Screen Recording 2026-08-16 223317.mp4,7,CONFIRMED_FROM_VIDEO
Books,8855.1,Caledonia,270,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Belfry Heights,Blacktip Shoals,,Screen Recording 2026-08-16 223317.mp4,4,CONFIRMED_FROM_VIDEO
Books,5132.5,Castle Landing,198,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Belfry Heights,Blacktip Shoals,,Screen Recording 2026-08-16 223317.mp4,5,CONFIRMED_FROM_VIDEO
Books,10921.0,Caveira,310,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Belfry Heights,Blacktip Shoals,,Screen Recording 2026-08-16 223317.mp4,8,CONFIRMED_FROM_VIDEO
Books,1619.7,Caye Tiburon,129,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Belfry Heights,Blacktip Shoals,,Screen Recording 2026-08-16 223317.mp4,12,CONFIRMED_FROM_VIDEO
Books,10489.0,Crownstead,302,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Belfry Heights,Blacktip Shoals,,Screen Recording 2026-08-16 223317.mp4,8,CONFIRMED_FROM_VIDEO
Books,8206.6,Cumberland Hill,258,,CONFIRMED_FROM_VIDEO,2,pooled_even_odd_wide,Belfry Heights,Blacktip Shoals,,Screen Recording 2026-08-16 223317.mp4,3,CONFIRMED_FROM_VIDEO
Books,9207.7,Deadman's Murcia,277,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Belfry Heights,Blacktip Shoals,,Screen Recording 2026-08-16 223317.mp4,6,CONFIRMED_FROM_VIDEO
Books,7547.4,Fair Harbour,245,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Belfry Heights,Blacktip Shoals,,Screen Recording 2026-08-16 223317.mp4,5,CONFIRMED_FROM_VIDEO
Books,6064.2,Falmouth,216,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Belfry Heights,Blacktip Shoals,,Screen Recording 2026-08-16 223317.mp4,6,CONFIRMED_FROM_VIDEO
Books,11560.9,Gyldenvale,323,,CONFIRMED_FROM_VIDEO,2,pooled_even_odd_wide,Belfry Heights,Blacktip Shoals,,Screen Recording 2026-08-16 223317.mp4,4,CONFIRMED_FROM_VIDEO
Books,7685.6,Jones' Outpost,247,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Belfry Heights,Blacktip Shoals,,Screen Recording 2026-08-16 223317.mp4,6,CONFIRMED_FROM_VIDEO
Books,7267.4,Kandlerova,239,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Belfry Heights,Blacktip Shoals,,Screen Recording 2026-08-16 223317.mp4,6,CONFIRMED_FROM_VIDEO
Books,4454.6,La Povenglia,184,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Belfry Heights,Blacktip Shoals,,Screen Recording 2026-08-16 223317.mp4,6,CONFIRMED_FROM_VIDEO
Books,3444.0,Lebarde,165,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Belfry Heights,Blacktip Shoals,,Screen Recording 2026-08-16 223317.mp4,17,CONFIRMED_FROM_VIDEO
Books,2548.2,Lord Irving's Sacrifice,147,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Belfry Heights,Blacktip Shoals,,Screen Recording 2026-08-16 223317.mp4,11,CONFIRMED_FROM_VIDEO
Books,10247.4,Louisbourg,297,,CONFIRMED_FROM_VIDEO,2,pooled_even_odd_wide,Belfry Heights,Blacktip Shoals,,Screen Recording 2026-08-16 223317.mp4,6,CONFIRMED_FROM_VIDEO
