origin_port,origin_region,cargo,destination_port,cargo_distance_m,displayed_sell_value_gbp,distance_status,value_status,source_recording,supporting_frame_count,distinct_ocr_tuples_seen
Louisbourg,Belle Isles,Lace,Lebarde,10470.9,251,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell3.png,1,1
Louisbourg,Belle Isles,Lace,Lord Irving's Sacrifice,9490.8,235,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell3.png,1,1
Louisbourg,Belle Isles,Lace,Madalena,9404.8,234,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell3.png,1,1
Louisbourg,Belle Isles,Lace,Mako's Outlook,10157.6,246,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell3.png,1,1
Louisbourg,Belle Isles,Lace,Matthew's Rest,4026.9,147,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell6.png; Louisbourg sell7.png,2,1
Louisbourg,Belle Isles,Lace,Maurepas,877.6,96,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell7.png,1,1
Louisbourg,Belle Isles,Lace,New Brighton,7040.2,19,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell5.png,1,1
Louisbourg,Belle Isles,Lace,New Catalina,12192.4,279,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell1.png,1,1
Louisbourg,Belle Isles,Lace,Pachard Town,3821.9,143,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell6.png; Louisbourg sell7.png,2,1
Louisbourg,Belle Isles,Lace,Peter's Cove,12934.0,291,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell1.png,1,1
Louisbourg,Belle Isles,Lace,Petit Anvers,1592.2,107,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell6.png; Louisbourg sell7.png,2,1
Louisbourg,Belle Isles,Lace,Poblado de San Juan,10783.5,256,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell2.png,1,1
Louisbourg,Belle Isles,Lace,Point Rocheux,3223.3,134,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell6.png; Louisbourg sell7.png,2,1
Louisbourg,Belle Isles,Lace,Ponta Delgada,7640.5,205,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell4.png,1,1
Louisbourg,Belle Isles,Lace,Port Antonio,6211.1,182,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell5.png,1,1
Louisbourg,Belle Isles,Lace,Port Louis,5179.7,165,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell5.png,1,1
Louisbourg,Belle Isles,Lace,Port Royal,7863.8,209,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell4.png,1,1
Louisbourg,Belle Isles,Lace,Port-Au-Croix,3296.0,135,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell6.png; Louisbourg sell7.png,2,1
Louisbourg,Belle Isles,Lace,Princeton,9363.2,233,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell3.png,1,1
Louisbourg,Belle Isles,Lace,Puerto de San Fernando,8285.1,216,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell4.png,1,1
Louisbourg,Belle Isles,Lace,Saint Vincent,6892.4,193,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell5.png,1,1
Louisbourg,Belle Isles,Lace,Saint-Nicholas,14132.6,311,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell1.png,1,1
Louisbourg,Belle Isles,Lace,Sainte Rose,1183.4,100,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell6.png; Louisbourg sell7.png,2,1
Louisbourg,Belle Isles,Lace,San Polo,14765.7,321,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell1.png,1,1
Louisbourg,Belle Isles,Lace,San Salvador,11843.2,274,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell2.png,1,1
Louisbourg,Belle Isles,Lace,San Vito,12094.0,278,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell1.png,1,1
Louisbourg,Belle Isles,Lace,Sandy Settlement,14010.0,309,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell1.png,1,1
Louisbourg,Belle Isles,Lace,Santa Maria,10568.0,253,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell3.png,1,1
Louisbourg,Belle Isles,Lace,Sao Bento,7764.1,207,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell4.png,1,1
Louisbourg,Belle Isles,Lace,Snake Prosper,8308.3,216,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell4.png,1,1
Louisbourg,Belle Isles,Lace,Sugar Cove,13125.8,295,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell1.png,1,1
Louisbourg,Belle Isles,Lace,Taylor's Town,13641.7,303,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell1.png,1,1
Louisbourg,Belle Isles,Lace,Theresa,7338.6,201,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell4.png,1,1
Louisbourg,Belle Isles,Lace,Thresher Point,10154.7,246,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell3.png,1,1
Louisbourg,Belle Isles,Lace,Venta Nueva,5286.2,167,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell5.png,1,1
Louisbourg,Belle Isles,Lace,Villarreal Del Mar,4848.0,160,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell6.png,1,1
Louisbourg,Belle Isles,Lace,White Hook,8921.7,226,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell3.png,1,1
Louisbourg,Belle Isles,Lace,Wyntergard,4991.7,162,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell5.png,1,1
Louisbourg,Belle Isles,Lace,Yorinobu's Settlement,6074.7,180,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell5.png,1,1
Maurepas,Belle Isles,Pelts,Al-Jazair,6826.4,177,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas sell4.png,2,1
Maurepas,Belle Isles,Pelts,Ashbourne,3468.0,127,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepa Sell7.png; Maurepas Sell6.png,3,1
Maurepas,Belle Isles,Pelts,Belfry Heights,9436.7,217,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas sell3.png,2,1
Maurepas,Belle Isles,Pelts,Bucket Bay,3778.2,132,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepa Sell7.png; Maurepas Sell6.png,3,1
Maurepas,Belle Isles,Pelts,Caledonia,7892.6,193,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas sell4.png,2,1
Maurepas,Belle Isles,Pelts,Castle Landing,157.2,227,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas sell3.png,2,1
Maurepas,Belle Isles,Pelts,Caveira,8445.8,202,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas sell3.png,2,1
Maurepas,Belle Isles,Pelts,Caye Tiburon,7981.9,195,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas sell4.png,2,1
Maurepas,Belle Isles,Pelts,Crownstead,3479.3,127,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepa Sell7.png; Maurepas Sell6.png,3,1
Maurepas,Belle Isles,Pelts,Cumberland Hill,11228.1,243,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas sell2.png,2,1
Maurepas,Belle Isles,Pelts,Deadman's Murcia,7336.1,185,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas sell4.png,2,1
Maurepas,Belle Isles,Pelts,Fair Harbour,4577.8,144,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas sell5.png,2,1
Maurepas,Belle Isles,Pelts,Falmouth,4972.3,150,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas sell5.png,2,1
Maurepas,Belle Isles,Pelts,Gyldenvale,4781.7,147,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas sell5.png,2,1
Maurepas,Belle Isles,Pelts,Jones' Outpost,10243.3,229,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas sell2.png,2,1
Maurepas,Belle Isles,Pelts,Kandlerova,14850.1,298,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas sell1.png,2,1
Maurepas,Belle Isles,Pelts,La Povenglia,13062.3,271,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas sell1.png,2,1
Maurepas,Belle Isles,Pelts,Lebarde,9594.4,219,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas sell3.png,2,1
Maurepas,Belle Isles,Pelts,Lord Irving's Sacrifice,8793.2,207,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas sell3.png,2,1
Maurepas,Belle Isles,Pelts,Louisbourg,877.6,87,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepa Sell7.png,1,1
Maurepas,Belle Isles,Pelts,Madalena,9642.5,220,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas sell3.png,2,1
Maurepas,Belle Isles,Pelts,Mako's Outlook,9437.8,217,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas sell3.png,2,1
Maurepas,Belle Isles,Pelts,Matthew's Rest,3150.7,122,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepa Sell7.png; Maurepas Sell6.png,3,1
Maurepas,Belle Isles,Pelts,New Brighton,6163.0,167,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas sell5.png,2,1
Maurepas,Belle Isles,Pelts,New Catalina,11362.2,245,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas sell2.png,2,1
Maurepas,Belle Isles,Pelts,Pachard Town,2969.3,120,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepa Sell7.png; Maurepas Sell6.png,3,1
Maurepas,Belle Isles,Pelts,Peter's Cove,12095.2,256,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas sell1.png,2,1
Maurepas,Belle Isles,Pelts,Petit Anvers,2221.9,108,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepa Sell7.png; Maurepas Sell6.png,3,1
Maurepas,Belle Isles,Pelts,Poblado de San Juan,10535.7,233,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas sell2.png,2,1
Maurepas,Belle Isles,Pelts,Point Rocheux,2684.8,115,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepa Sell7.png; Maurepas Sell6.png,3,1
Maurepas,Belle Isles,Pelts,Ponta Delgada,8108.8,197,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas sell4.png,2,1
Maurepas,Belle Isles,Pelts,Port Antonio,5804.9,162,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas sell5.png,2,1
Maurepas,Belle Isles,Pelts,Port Louis,4469.0,142,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas Sell6.png,2,1
Maurepas,Belle Isles,Pelts,Port Royal,7257.7,184,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas sell4.png,2,1
Maurepas,Belle Isles,Pelts,Port-Au-Croix,2542.1,113,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepa Sell7.png; Maurepas Sell6.png,3,1
Maurepas,Belle Isles,Pelts,Princeton,8491.0,202,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas sell3.png,2,1
Maurepas,Belle Isles,Pelts,Puerto de San Fernando,8061.2,19,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas sell4.png,2,1
Maurepas,Belle Isles,Pelts,Saint Vincent,6088.4,166,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas sell5.png,2,1
Maurepas,Belle Isles,Pelts,Saint-Nicholas,13278.5,274,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas sell1.png,2,1
Maurepas,Belle Isles,Pelts,Sainte Rose,2038.0,106,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepa Sell7.png; Maurepas Sell6.png,3,1
Maurepas,Belle Isles,Pelts,San Polo,14129.6,287,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas sell1.png,2,1
Maurepas,Belle Isles,Pelts,San Salvador,11442.3,247,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas sell1.png,2,1
Maurepas,Belle Isles,Pelts,San Vito,11398.5,246,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas sell1.png,2,1
Maurepas,Belle Isles,Pelts,Sandy Settlement,13164.4,272,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas sell1.png,2,1
Maurepas,Belle Isles,Pelts,Santa Maria,10287.2,229,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas sell2.png,2,1
Maurepas,Belle Isles,Pelts,Sao Bento,8045.4,19,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas sell4.png,2,1
Maurepas,Belle Isles,Pelts,Snake Prosper,7577.8,189,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas sell4.png,2,1
Maurepas,Belle Isles,Pelts,Sugar Cove,12304.0,260,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas sell1.png,2,1
Maurepas,Belle Isles,Pelts,Taylor's Town,12771.1,267,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas sell1.png,2,1
Maurepas,Belle Isles,Pelts,Theresa,6908.7,179,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas sell4.png,2,1
Maurepas,Belle Isles,Pelts,Thresher Point,9317.7,215,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas sell3.png,2,1
Maurepas,Belle Isles,Pelts,Venta Nueva,5259.9,154,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas sell5.png,2,1
Maurepas,Belle Isles,Pelts,Villarreal Del Mar,4613.1,144,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas sell5.png,2,1
Maurepas,Belle Isles,Pelts,White Hook,8257.0,199,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas sell3.png,2,1
Maurepas,Belle Isles,Pelts,Wyntergard,4551.3,143,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas sell5.png,2,1
Maurepas,Belle Isles,Pelts,Yorinobu's Settlement,5201.5,153,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Maurepas sell5.png,2,1
Petit Anvers,Belle Isles,Chocolate,Al-Jazair,8423.8,228,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Petit Sell4.png,1,1
Petit Anvers,Belle Isles,Chocolate,Ashbourne,3907.5,151,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Petit Sell6.png,1,1
Petit Anvers,Belle Isles,Chocolate,Belfry Heights,11618.9,283,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Petit Sell3.png,1,1
Petit Anvers,Belle Isles,Chocolate,Bucket Bay,5488.5,178,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Petit Sell5.png,1,1
Petit Anvers,Belle Isles,Chocolate,Caledonia,8811.0,235,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Petit Sell4.png,1,1
Petit Anvers,Belle Isles,Chocolate,Castle Landing,11898.5,287,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Petit Sell2.png,1,1
Petit Anvers,Belle Isles,Chocolate,Caveira,9659.8,249,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Petit Sell4.png,1,1
Petit Anvers,Belle Isles,Chocolate,Caye Tiburon,10129.7,257,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Petit Sell3.png,1,1
Petit Anvers,Belle Isles,Chocolate,Crownstead,3435.3,143,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Petit Sell6.png,1,1
Petit Anvers,Belle Isles,Chocolate,Cumberland Hill,12552.3,298,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Petit Sell2.png,1,1
Petit Anvers,Belle Isles,Chocolate,Deadman's Murcia,8120.9,223,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Petit Sell4.png,1,1
Petit Anvers,Belle Isles,Chocolate,Fair Harbour,5895.1,185,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Petit Sell5.png,1,1
Petit Anvers,Belle Isles,Chocolate,Falmouth,7073.1,205,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Petit Sell5.png,1,1
Petit Anvers,Belle Isles,Chocolate,Gyldenvale,4299.6,158,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Petit Sell6.png,1,1
Petit Anvers,Belle Isles,Chocolate,Jones' Outpost,11580.8,282,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Petit Sell3.png,1,1
Petit Anvers,Belle Isles,Chocolate,Kandlerova,17032.7,375,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Petit Sell1.png,1,1
Petit Anvers,Belle Isles,Chocolate,La Povenglia,15283.7,345,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Petit Sell1.png,1,1
Petit Anvers,Belle Isles,Chocolate,Lebarde,11523.6,281,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Petit Sell3.png,1,1
Petit Anvers,Belle Isles,Chocolate,Lord Irving's Sacrifice,11011.9,272,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Petit Sell3.png,1,1
Petit Anvers,Belle Isles,Chocolate,Louisbourg,1592.2,112,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Petit Sell6.png,1,1
Petit Anvers,Belle Isles,Chocolate,Madalena,10519.1,264,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Petit Sell3.png,1,1
Petit Anvers,Belle Isles,Chocolate,Mako's Outlook,11659.5,283,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Petit Sell3.png,1,1
Petit Anvers,Belle Isles,Chocolate,Matthew's Rest,5076.9,171,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Petit Sell6.png,1,1
Petit Anvers,Belle Isles,Chocolate,Maurepas,2221.9,123,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Petit Sell6.png,1,1
Petit Anvers,Belle Isles,Chocolate,New Catalina,12763.7,302,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Petit Sell2.png,1,1
Petit Anvers,Belle Isles,Chocolate,Pachard Town,5114.0,172,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Petit Sell5.png,1,1
Petit Anvers,Belle Isles,Chocolate,Peter's Cove,14226.2,327,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Petit Sell1.png,1,1
Petit Anvers,Belle Isles,Chocolate,Poblado de San Juan,12313.9,294,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Petit Sell2.png,1,1
Petit Anvers,Belle Isles,Chocolate,Point Rocheux,4803.4,167,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Petit Sell6.png,1,1
Petit Anvers,Belle Isles,Chocolate,Ponta Delgada,8430.8,228,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Petit Sell4.png,1,1
Petit Anvers,Belle Isles,Chocolate,Port Antonio,7799.1,218,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Petit Sell5.png,1,1
Petit Anvers,Belle Isles,Chocolate,Port Louis,5493.5,178,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Petit Sell5.png,1,1
Petit Anvers,Belle Isles,Chocolate,Port Royal,9434.5,245,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Petit Sell4.png,1,1
Petit Anvers,Belle Isles,Chocolate,Port-Au-Croix,4764.0,166,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Petit Sell6.png,1,1
Petit Anvers,Belle Isles,Chocolate,Princeton,10248.5,259,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Petit Sell3.png,1,1
Petit Anvers,Belle Isles,Chocolate,Puerto de San Fernando,9811.2,252,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Petit Sell3.png,1,1
Petit Anvers,Belle Isles,Chocolate,Saint Vincent,7432.1,211,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Petit Sell5.png,1,1
Petit Anvers,Belle Isles,Chocolate,Saint-Nicholas,15362.4,346,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Petit Sell1.png,1,1
