origin_port,cargo,destination_port,cargo_distance_m,displayed_sell_value_gbp,distance_status,value_status,source,supporting_frame_count,distinct_ocr_tuples_seen
Ashbourne,Oil,Port Louis,1788.6,115,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,4,1
Ashbourne,Oil,Port Royal,9029.3,238,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,6,1
Ashbourne,Oil,Port-Au-Croix,4518.6,162,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,5,2
Ashbourne,Oil,Princeton,7049.0,205,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,4,1
Ashbourne,Oil,Puerto de San Fernando,10917.9,271,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,2,1
Ashbourne,Oil,Saint Vincent,3841.2,150,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,5,1
Ashbourne,Oil,Saint-Nicholas,12790.8,302,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,4,1
Ashbourne,Oil,Sainte Rose,5009.7,170,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,6,1
Ashbourne,Oil,San Polo,15423.4,347,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,4,1
Ashbourne,Oil,San Salvador,13749.9,319,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,4,1
Ashbourne,Oil,San Vito,12458.6,297,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,2,1
Ashbourne,Oil,Sandy Settlement,12820.1,303,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,4,1
Ashbourne,Oil,Santa Maria,12953.2,305,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,4,1
Ashbourne,Oil,Sao Bento,11492.5,280,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,4,1
Ashbourne,Oil,Snake Prosper,4685.1,165,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,6,1
Ashbourne,Oil,Sugar Cove,9880.8,253,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,4,1
Ashbourne,Oil,Taylor's Town,11921.5,288,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,3,1
Ashbourne,Oil,Theresa,9324.2,244,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,4,1
Ashbourne,Oil,Thresher Point,9303.0,243,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,5,1
Ashbourne,Oil,Venta Nueva,8511.1,230,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,5,1
Ashbourne,Oil,Villarreal Del Mar,7614.0,214,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,5,1
Ashbourne,Oil,White Hook,5075.7,171,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,6,1
Ashbourne,Oil,Wyntergard,1114.1,104,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,3,1
Ashbourne,Oil,Yorinobu's Settlement,4271.5,158,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,1,1
Belfry Heights,Books,Al-Jazair,5856.8,212,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,6,1
Belfry Heights,Books,Ashbourne,9722.6,287,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,5,2
Belfry Heights,Books,Bucket Bay,6832.4,231,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,7,1
Belfry Heights,Books,Caledonia,8855.1,270,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,4,1
Belfry Heights,Books,Castle Landing,5132.5,198,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,5,1
Belfry Heights,Books,Caveira,10921.0,310,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,8,1
Belfry Heights,Books,Caye Tiburon,1619.7,129,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,12,1
Belfry Heights,Books,Crownstead,10489.0,302,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,8,1
Belfry Heights,Books,Cumberland Hill,8206.6,258,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,3,2
Belfry Heights,Books,Deadman's Murcia,9207.7,277,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,6,1
Belfry Heights,Books,Fair Harbour,7547.4,245,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,5,1
Belfry Heights,Books,Falmouth,6064.2,216,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,6,1
Belfry Heights,Books,Gyldenvale,11560.9,323,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,4,2
Belfry Heights,Books,Jones' Outpost,7685.6,247,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,6,1
Belfry Heights,Books,Kandlerova,7267.4,239,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,6,1
Belfry Heights,Books,La Povenglia,4454.6,184,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,6,1
Belfry Heights,Books,Lebarde,3444.0,165,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,17,1
Belfry Heights,Books,Lord Irving's Sacrifice,2548.2,147,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,11,1
Belfry Heights,Books,Louisbourg,10247.4,297,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,6,2
Belfry Heights,Books,Madalena,12861.8,348,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,4,2
Belfry Heights,Books,Mako's Outlook,2117.0,139,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,12,1
Belfry Heights,Books,Matthew's Rest,6773.1,230,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,7,1
Belfry Heights,Books,Maurepas,9436.7,282,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,6,1
Belfry Heights,Books,New Brighton,4617.8,188,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,5,1
Belfry Heights,Books,New Catalina,7839.9,250,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,6,1
Belfry Heights,Books,Pachard Town,6508.9,224,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,6,1
Belfry Heights,Books,Peter's Cove,2871.8,154,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,12,1
Belfry Heights,Books,Petit Anvers,11618.9,324,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,4,2
Belfry Heights,Books,Poblado de San Juan,8870.5,270,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,4,1
Belfry Heights,Books,Point Rocheux,7424.4,242,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,6,1
Belfry Heights,Books,Ponta Delgada,13607.3,363,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,4,2
Belfry Heights,Books,Port Antonio,6500.2,224,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,11,1
Belfry Heights,Books,Port Louis,8375.5,261,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,6,1
Belfry Heights,Books,Port Royal,4225.9,180,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,6,1
Belfry Heights,Books,Port-Au-Croix,6970.5,233,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,7,1
Belfry Heights,Books,Princeton,4735.0,190,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,5,1
Belfry Heights,Books,Puerto de San Fernando,8135.5,256,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,5,1
Belfry Heights,Books,Saint Vincent,7087.3,236,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,6,1
Belfry Heights,Books,Saint-Nicholas,4294.9,181,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,6,1
Belfry Heights,Books,Sainte Rose,11195.1,316,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,6,2
Belfry Heights,Books,San Polo,6337.5,221,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,11,1
Belfry Heights,Books,San Salvador,7592.0,246,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,6,1
Belfry Heights,Books,San Vito,3402.0,164,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,12,1
Belfry Heights,Books,Sandy Settlement,4005.2,176,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,18,1
Belfry Heights,Books,Santa Maria,8395.0,261,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,5,1
