tp_id,region_id,destination_region_id,polygon_coordinates,normalized_polygon_coordinates,paired_tp_id,confidence,notes
GRF-TP02,GRF,BTS,"[[274, 65], [541, 136], [528, 184], [261, 113]]","[[0.314943, 0.078313], [0.621839, 0.163855], [0.606897, 0.221687], [0.3, 0.136145]]",BTS-TP05,visually_verified,
GRF-TP03,GRF,LEB,"[[591, 85], [690, 195], [653, 229], [554, 119]]","[[0.67931, 0.10241], [0.793103, 0.23494], [0.750575, 0.275904], [0.636782, 0.143373]]",LEB-TP05,visually_verified,
GRF-TP04,GRF,WSO,"[[597, 231], [597, 513], [646, 513], [646, 231]]","[[0.686207, 0.278313], [0.686207, 0.618072], [0.742529, 0.618072], [0.742529, 0.278313]]",WSO-TP04,visually_verified,
GRF-TP05,GRF,IDL,"[[667, 552], [562, 647], [595, 684], [700, 589]]","[[0.766667, 0.66506], [0.645977, 0.779518], [0.683908, 0.824096], [0.804598, 0.709639]]",IDL-TP06,visually_verified,
GRF-TP06,GRF,STP,"[[559, 644], [217, 698], [225, 747], [567, 693]]","[[0.642529, 0.775904], [0.249425, 0.840964], [0.258621, 0.9], [0.651724, 0.83494]]",STP-TP01,visually_verified,
GRF-TP07,GRF,KIN,"[[159, 203], [159, 564], [208, 564], [208, 203]]","[[0.182759, 0.244578], [0.182759, 0.679518], [0.23908, 0.679518], [0.23908, 0.244578]]",KIN-TP02,visually_verified,
KIN-TP01,KIN,IRV,"[[535, 1], [1054, 243], [1032, 288], [514, 47]]","[[0.384892, 0.000951], [0.758273, 0.230989], [0.742446, 0.273764], [0.369784, 0.044677]]",IRV-TP04,visually_verified,
KIN-TP02,KIN,GRF,"[[1057, 278], [1057, 639], [1106, 639], [1106, 278]]","[[0.760432, 0.264259], [0.760432, 0.607414], [0.795683, 0.607414], [0.795683, 0.264259]]",GRF-TP07,visually_verified,
KIN-TP03,KIN,SSA,"[[351, 46], [351, 891], [400, 891], [400, 46]]","[[0.252518, 0.043726], [0.252518, 0.846958], [0.28777, 0.846958], [0.28777, 0.043726]]",SSA-TP01,visually_verified,
KIN-TP04,KIN,STP,"[[1073, 797], [957, 925], [994, 959], [1110, 830]]","[[0.771942, 0.757605], [0.688489, 0.879278], [0.715108, 0.911597], [0.798561, 0.788973]]",STP-TP02,visually_verified,
KIN-TP05,KIN,CAY,"[[503, 945], [910, 945], [910, 994], [503, 994]]","[[0.361871, 0.898289], [0.654676, 0.898289], [0.654676, 0.944867], [0.361871, 0.944867]]",CAY-TP01,visually_verified,
KIN-TP06,KIN,ILB,"[[344, 910], [446, 1012], [411, 1048], [309, 945]]","[[0.247482, 0.865019], [0.320863, 0.961977], [0.295683, 0.996198], [0.222302, 0.898289]]",ILB-TP01,visually_verified,
CAY-TP01,CAY,KIN,"[[583, 110], [990, 110], [990, 159], [583, 159]]","[[0.341335, 0.124014], [0.579625, 0.124014], [0.579625, 0.179256], [0.341335, 0.179256]]",KIN-TP05,visually_verified,
CAY-TP02,CAY,STP,"[[1041, 191], [1096, 502], [1047, 511], [992, 199]]","[[0.609485, 0.215333], [0.641686, 0.565953], [0.612998, 0.576099], [0.580796, 0.224352]]",STP-TP07,visually_verified,
CAY-TP03,CAY,ILB,"[[270, 314], [612, 804], [571, 832], [229, 343]]","[[0.15808, 0.354002], [0.358314, 0.906426], [0.334309, 0.937993], [0.134075, 0.386697]]",ILB-TP02,visually_verified,
CAY-TP04,CAY,SSA,"[[573, 148], [307, 356], [338, 396], [603, 188]]","[[0.33548, 0.166855], [0.179742, 0.401353], [0.197892, 0.446449], [0.353044, 0.21195]]",SSA-TP02,visually_verified,
ILB-TP01,ILB,KIN,"[[559, 23], [610, 74], [593, 91], [542, 40]]","[[0.535441, 0.033577], [0.584291, 0.108029], [0.568008, 0.132847], [0.519157, 0.058394]]",KIN-TP06,visually_verified,
ILB-TP02,ILB,CAY,"[[482, 142], [653, 387], [633, 401], [462, 157]]","[[0.461686, 0.207299], [0.625479, 0.564964], [0.606322, 0.585401], [0.442529, 0.229197]]",CAY-TP03,visually_verified,
SSA-TP01,SSA,KIN,"[[389, 53], [389, 444], [368, 444], [368, 53]]","[[0.657095, 0.080303], [0.657095, 0.672727], [0.621622, 0.672727], [0.621622, 0.080303]]",KIN-TP03,visually_verified,
SSA-TP02,SSA,CAY,"[[365, 448], [242, 544], [256, 562], [379, 466]]","[[0.616554, 0.678788], [0.408784, 0.824242], [0.432432, 0.851515], [0.640203, 0.706061]]",CAY-TP04,visually_verified,
SPO-TP01,SPO,IRV,"[[958, 632], [549, 704], [557, 753], [967, 681]]","[[0.657515, 0.771673], [0.376802, 0.859585], [0.382292, 0.919414], [0.663693, 0.831502]]",IRV-TP01,visually_verified,
SPO-TP02,SPO,BTS,"[[1090, 298], [976, 611], [1023, 629], [1137, 315]]","[[0.748113, 0.363858], [0.66987, 0.746032], [0.702128, 0.76801], [0.780371, 0.384615]]",BTS-TP01,visually_verified,
